材料ID,品牌,车系,分析对象名称,车型价格范围,能源形式,车身形式,级别,座位数,来源类型,来源平台,地区,时间,年龄段,职业,家庭结构,是否已购,购车阶段,决策周期,主要决策人,决策影响人,用户原文,数据性质,拟定依据,参考来源标题,参考来源平台,参考来源URL
UM0076,睿蓝汽车,睿蓝蓝气球,睿蓝蓝气球,4.69-5.09万,纯电动,轿车,微型,4座,访谈记录,公开论坛/社区讨论,江苏,2026-04,50岁以上,个体经营者,三代同住,未购,初步了解,1周内,公司/家庭共同使用者,父母,我对睿蓝蓝气球的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0077,睿蓝汽车,睿蓝蓝气球,睿蓝蓝气球,4.69-5.09万,纯电动,轿车,微型,4座,问卷回答,销售反馈模拟,山东,2026-08,30-35岁,制造业管理岗,未婚/两人家庭,流失,试驾体验,2个月以上,家庭共同决策,朋友/同事,选车时把睿蓝蓝气球和同级别车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0078,五菱新能源,埃尚,埃尚,3.98-5.28万,纯电动,轿车,微型,4座,用户评论,车质网,湖南,2026-04,25-30岁,互联网产品/运营,商务+家庭兼用,意向中,对比评估,1周内,公司/家庭共同使用者,孩子,关注埃尚主要是因为通勤舒适和外观协调，价格在3.98-5.28万这个区间内比较有吸引力。对比新能源替代车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0079,五菱新能源,埃尚,埃尚,3.98-5.28万,纯电动,轿车,微型,4座,访谈记录,公开网页评论整理,北京,2026-08,35-40岁,金融/咨询从业者,已婚未育,已购,价格谈判,2个月以上,家庭共同决策,销售顾问,我对埃尚的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0080,五菱新能源,埃尚,埃尚,3.98-5.28万,纯电动,轿车,微型,4座,问卷回答,公开问卷语料模拟,河南,2026-07,45-50岁,企业职员,已婚二孩,意向中,流失反馈,1-2个月,本人+父母,配偶,选车时把埃尚和同级别车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0081,比亚迪,海鸥,海鸥,6.98-8.59万,纯电动,轿车,微型,4座,用户评论,车质网,山东,2026-08,40-45岁,私营业主,已婚一孩,未购,已购复盘,2个月以上,家庭共同决策,无明显影响人,关注海鸥主要是因为通勤舒适和外观协调，价格在6.98-8.59万这个区间内比较有吸引力。对比五菱星光时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0082,比亚迪,海鸥,海鸥,6.98-8.59万,纯电动,轿车,微型,4座,访谈记录,销售反馈模拟,上海,2026-07,50岁以上,自由职业者,三代同住,流失,初步了解,1-2个月,本人+父母,父母,我对海鸥的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0083,比亚迪,海鸥,海鸥,6.98-8.59万,纯电动,轿车,微型,4座,问卷回答,公开论坛/社区讨论,四川,2026-06,30-35岁,公务员/事业单位,未婚/两人家庭,未购,试驾体验,1个月内,本人+配偶,朋友/同事,选车时把海鸥和吉利银河放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0084,上汽大众,朗逸,朗逸,7.99-15.19万,传统燃料,轿车,紧凑型,5座,用户评论,车质网,河南,2026-07,25-30岁,设计/传媒从业者,商务+家庭兼用,已购,对比评估,1-2个月,本人+父母,孩子,关注朗逸主要是因为通勤舒适和外观协调，价格在7.99-15.19万这个区间内比较有吸引力。对比新能源替代车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0085,上汽大众,朗逸,朗逸,7.99-15.19万,传统燃料,轿车,紧凑型,5座,访谈记录,公开问卷语料模拟,广东,2026-06,35-40岁,个体经营者,已婚未育,意向中,价格谈判,1个月内,本人+配偶,销售顾问,我对朗逸的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0086,上汽大众,朗逸,朗逸,7.99-15.19万,传统燃料,轿车,紧凑型,5座,问卷回答,公开网页评论整理,浙江,2026-05,45-50岁,制造业管理岗,已婚二孩,已购,流失反馈,2周左右,本人,配偶,选车时把朗逸和同级别车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0087,比亚迪,秦PLUS,秦PLUS,7.98-17.98万,纯电动/非增程式插混,轿车,紧凑型,5座,用户评论,车质网,四川,2026-06,40-45岁,互联网产品/运营,已婚一孩,流失,已购复盘,1个月内,本人+配偶,无明显影响人,关注秦PLUS主要是因为通勤舒适和外观协调，价格在7.98-17.98万这个区间内比较有吸引力。对比长安启源时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0088,比亚迪,秦PLUS,秦PLUS,7.98-17.98万,纯电动/非增程式插混,轿车,紧凑型,5座,访谈记录,公开论坛/社区讨论,湖北,2026-05,50岁以上,金融/咨询从业者,三代同住,未购,初步了解,2周左右,本人,父母,我对秦PLUS的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0089,比亚迪,秦PLUS,秦PLUS,7.98-17.98万,纯电动/非增程式插混,轿车,紧凑型,5座,问卷回答,销售反馈模拟,江苏,2026-04,30-35岁,企业职员,未婚/两人家庭,流失,试驾体验,1周内,公司/家庭共同使用者,朋友/同事,选车时把秦PLUS和特斯拉Model Y放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0090,长安启源,长安启源Q05,长安启源Q05,7.99-11.49万,纯电动,SUV,紧凑型,5座,用户评论,车质网,浙江,2026-05,25-30岁,私营业主,商务+家庭兼用,意向中,对比评估,2周左右,本人,孩子,关注长安启源Q05主要是因为通过性和家庭出行适配，价格在7.99-11.49万这个区间内比较有吸引力。对比同级别车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0091,长安启源,长安启源Q05,长安启源Q05,7.99-11.49万,纯电动,SUV,紧凑型,5座,访谈记录,公开网页评论整理,湖南,2026-04,35-40岁,自由职业者,已婚未育,已购,价格谈判,1周内,公司/家庭共同使用者,销售顾问,我对长安启源Q05的第一印象是实用，SUV车身能满足日常通勤和家庭使用。顾虑是后备厢满载空间，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0092,长安启源,长安启源Q05,长安启源Q05,7.99-11.49万,纯电动,SUV,紧凑型,5座,问卷回答,公开问卷语料模拟,北京,2026-08,45-50岁,公务员/事业单位,已婚二孩,意向中,流失反馈,2个月以上,家庭共同决策,配偶,选车时把长安启源Q05和同价位竞品放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在家庭出行适配，不足可能是油耗/电耗，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0093,一汽大众,速腾,速腾,9.38-16.49万,传统燃料,轿车,紧凑型,5座,用户评论,车质网,江苏,2026-04,40-45岁,设计/传媒从业者,已婚一孩,未购,已购复盘,1周内,公司/家庭共同使用者,无明显影响人,关注速腾主要是因为通勤舒适和外观协调，价格在9.38-16.49万这个区间内比较有吸引力。对比新能源替代车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0094,一汽大众,速腾,速腾,9.38-16.49万,传统燃料,轿车,紧凑型,5座,访谈记录,销售反馈模拟,山东,2026-08,50岁以上,个体经营者,三代同住,流失,初步了解,2个月以上,家庭共同决策,父母,我对速腾的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0095,一汽大众,速腾,速腾,9.38-16.49万,传统燃料,轿车,紧凑型,5座,问卷回答,公开论坛/社区讨论,上海,2026-07,30-35岁,制造业管理岗,未婚/两人家庭,未购,试驾体验,1-2个月,本人+父母,朋友/同事,选车时把速腾和同级别车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0096,比亚迪,元UP,元UP,7.48-11.98万,纯电动,SUV,小型,5座,用户评论,车质网,北京,2026-08,25-30岁,互联网产品/运营,商务+家庭兼用,已购,对比评估,2个月以上,家庭共同决策,孩子,关注元UP主要是因为通过性和家庭出行适配，价格在7.48-11.98万这个区间内比较有吸引力。对比特斯拉Model Y时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0097,比亚迪,元UP,元UP,7.48-11.98万,纯电动,SUV,小型,5座,访谈记录,公开问卷语料模拟,河南,2026-07,35-40岁,金融/咨询从业者,已婚未育,意向中,价格谈判,1-2个月,本人+父母,销售顾问,我对元UP的第一印象是实用，SUV车身能满足日常通勤和家庭使用。顾虑是后备厢满载空间，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0098,比亚迪,元UP,元UP,7.48-11.98万,纯电动,SUV,小型,5座,问卷回答,公开网页评论整理,广东,2026-06,45-50岁,企业职员,已婚二孩,已购,流失反馈,1个月内,本人+配偶,配偶,选车时把元UP和长安启源放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在家庭出行适配，不足可能是油耗/电耗，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0099,比亚迪,海豹06,海豹06,9.68-13.98万,纯电动/非增程式插混,轿车,中型,5座,用户评论,车质网,上海,2026-07,40-45岁,私营业主,已婚一孩,流失,已购复盘,1-2个月,本人+父母,无明显影响人,关注海豹06主要是因为通勤舒适和外观协调，价格在9.68-13.98万这个区间内比较有吸引力。对比吉利银河时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0100,比亚迪,海豹06,海豹06,9.68-13.98万,纯电动/非增程式插混,轿车,中型,5座,访谈记录,公开论坛/社区讨论,四川,2026-06,50岁以上,自由职业者,三代同住,未购,初步了解,1个月内,本人+配偶,父母,我对海豹06的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0101,比亚迪,海豹06,海豹06,9.68-13.98万,纯电动/非增程式插混,轿车,中型,5座,问卷回答,销售反馈模拟,湖北,2026-05,30-35岁,公务员/事业单位,未婚/两人家庭,流失,试驾体验,2周左右,本人,朋友/同事,选车时把海豹06和五菱星光放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0102,比亚迪,秦L,秦L,9.68-15.38万,纯电动/非增程式插混,轿车,中型,5座,用户评论,车质网,广东,2026-06,25-30岁,设计/传媒从业者,商务+家庭兼用,意向中,对比评估,1个月内,本人+配偶,孩子,关注秦L主要是因为通勤舒适和外观协调，价格在9.68-15.38万这个区间内比较有吸引力。对比五菱星光时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0103,比亚迪,秦L,秦L,9.68-15.38万,纯电动/非增程式插混,轿车,中型,5座,访谈记录,公开网页评论整理,浙江,2026-05,35-40岁,个体经营者,已婚未育,已购,价格谈判,2周左右,本人,销售顾问,我对秦L的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0104,比亚迪,秦L,秦L,9.68-15.38万,纯电动/非增程式插混,轿车,中型,5座,问卷回答,公开问卷语料模拟,湖南,2026-04,45-50岁,制造业管理岗,已婚二孩,意向中,流失反馈,1周内,公司/家庭共同使用者,配偶,选车时把秦L和吉利银河放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0105,长城汽车,坦克300,坦克300,19.98-23.48万,传统燃料,SUV,紧凑型,5座,用户评论,车质网,湖北,2026-05,40-45岁,互联网产品/运营,已婚一孩,未购,已购复盘,2周左右,本人,无明显影响人,关注坦克300主要是因为通过性和家庭出行适配，价格在19.98-23.48万这个区间内比较有吸引力。对比新能源替代车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0106,长城汽车,坦克300,坦克300,19.98-23.48万,传统燃料,SUV,紧凑型,5座,访谈记录,销售反馈模拟,江苏,2026-04,50岁以上,金融/咨询从业者,三代同住,流失,初步了解,1周内,公司/家庭共同使用者,父母,我对坦克300的第一印象是实用，SUV车身能满足日常通勤和家庭使用。顾虑是后备厢满载空间，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0107,长城汽车,坦克300,坦克300,19.98-23.48万,传统燃料,SUV,紧凑型,5座,问卷回答,公开论坛/社区讨论,山东,2026-08,30-35岁,企业职员,未婚/两人家庭,未购,试驾体验,2个月以上,家庭共同决策,朋友/同事,选车时把坦克300和同级别车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在家庭出行适配，不足可能是油耗/电耗，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0108,一汽大众,迈腾,迈腾,17.49-24.69万,传统燃料,轿车,中型,5座,用户评论,车质网,湖南,2026-04,25-30岁,私营业主,商务+家庭兼用,已购,对比评估,1周内,公司/家庭共同使用者,孩子,关注迈腾主要是因为通勤舒适和外观协调，价格在17.49-24.69万这个区间内比较有吸引力。对比新能源替代车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0109,一汽大众,迈腾,迈腾,17.49-24.69万,传统燃料,轿车,中型,5座,访谈记录,公开问卷语料模拟,北京,2026-08,35-40岁,自由职业者,已婚未育,意向中,价格谈判,2个月以上,家庭共同决策,销售顾问,我对迈腾的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0110,一汽大众,迈腾,迈腾,17.49-24.69万,传统燃料,轿车,中型,5座,问卷回答,公开网页评论整理,河南,2026-07,45-50岁,公务员/事业单位,已婚二孩,已购,流失反馈,1-2个月,本人+父母,配偶,选车时把迈腾和同级别车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0111,上汽大众,帕萨特,帕萨特,16.49-30.98万,传统燃料,轿车,中型,5座,用户评论,车质网,山东,2026-08,40-45岁,设计/传媒从业者,已婚一孩,流失,已购复盘,2个月以上,家庭共同决策,无明显影响人,关注帕萨特主要是因为通勤舒适和外观协调，价格在16.49-30.98万这个区间内比较有吸引力。对比同价位竞品时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0112,上汽大众,帕萨特,帕萨特,16.49-30.98万,传统燃料,轿车,中型,5座,访谈记录,公开论坛/社区讨论,上海,2026-07,50岁以上,个体经营者,三代同住,未购,初步了解,1-2个月,本人+父母,父母,我对帕萨特的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0113,上汽大众,帕萨特,帕萨特,16.49-30.98万,传统燃料,轿车,中型,5座,问卷回答,销售反馈模拟,四川,2026-06,30-35岁,制造业管理岗,未婚/两人家庭,流失,试驾体验,1个月内,本人+配偶,朋友/同事,选车时把帕萨特和新能源替代车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0114,广汽本田,雅阁,雅阁,17.98-21.48万,传统燃料,轿车,中型,5座,用户评论,车质网,河南,2026-07,25-30岁,互联网产品/运营,商务+家庭兼用,意向中,对比评估,1-2个月,本人+父母,孩子,关注雅阁主要是因为通勤舒适和外观协调，价格在17.98-21.48万这个区间内比较有吸引力。对比新能源替代车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0115,广汽本田,雅阁,雅阁,17.98-21.48万,传统燃料,轿车,中型,5座,访谈记录,公开网页评论整理,广东,2026-06,35-40岁,金融/咨询从业者,已婚未育,已购,价格谈判,1个月内,本人+配偶,销售顾问,我对雅阁的第一印象是实用，轿车车身能满足日常通勤和家庭使用。顾虑是装载能力，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0116,广汽本田,雅阁,雅阁,17.98-21.48万,传统燃料,轿车,中型,5座,问卷回答,公开问卷语料模拟,浙江,2026-05,45-50岁,企业职员,已婚二孩,意向中,流失反馈,2周左右,本人,配偶,选车时把雅阁和同级别车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在外观协调，不足可能是后排头部空间，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0117,吉利汽车,星越L,星越L,13.98-17.77万,传统燃料/常规混合动力,SUV,紧凑型,5座,用户评论,车质网,四川,2026-06,40-45岁,私营业主,已婚一孩,未购,已购复盘,1个月内,本人+配偶,无明显影响人,关注星越L主要是因为通过性和家庭出行适配，价格在13.98-17.77万这个区间内比较有吸引力。对比同价位竞品时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0118,吉利汽车,星越L,星越L,13.98-17.77万,传统燃料/常规混合动力,SUV,紧凑型,5座,访谈记录,销售反馈模拟,湖北,2026-05,50岁以上,自由职业者,三代同住,流失,初步了解,2周左右,本人,父母,我对星越L的第一印象是实用，SUV车身能满足日常通勤和家庭使用。顾虑是后备厢满载空间，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0119,吉利汽车,星越L,星越L,13.98-17.77万,传统燃料/常规混合动力,SUV,紧凑型,5座,问卷回答,公开论坛/社区讨论,江苏,2026-04,30-35岁,公务员/事业单位,未婚/两人家庭,未购,试驾体验,1周内,公司/家庭共同使用者,朋友/同事,选车时把星越L和新能源替代车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在家庭出行适配，不足可能是油耗/电耗，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0120,AITO问界,问界M6,问界M6,22.98-29.98万,纯电动/增程式插混,SUV,中大型,5座,用户评论,车质网,浙江,2026-05,30-35岁,设计/传媒从业者,已婚一孩,已购,对比评估,2周左右,本人+配偶,父母,关注问界M6主要是因为华为智驾和鸿蒙座舱，手机互联和语音确实很顺。也看过Model Y，理想更偏家庭舒适，问界更打动我的是智能化和科技信任。,公开网页用户评论风格改写,问界M7口碑中常见华为智驾、鸿蒙座舱、六座空间、增程续航优势，以及底盘偏软、满载后备厢和第三排局促等反馈。,问界M7 车质网口碑,车质网,https://www.12365auto.com/review/3363_0_0_1.shtml
UM0121,AITO问界,问界M6,问界M6,22.98-29.98万,纯电动/增程式插混,SUV,中大型,5座,访谈记录,公开问卷语料模拟,湖南,2026-04,40-45岁,个体经营者,三代同住,意向中,价格谈判,1周内,本人+父母,销售顾问,问界M6的六座/大空间和增程方案对家庭用户很友好，日常通勤用电、长途加油没有压力。顾虑主要是底盘偏软和第三排长途舒适，满载出行时还想再实际体验一下。,公开网页访谈记录风格改写,问界M7口碑中常见华为智驾、鸿蒙座舱、六座空间、增程续航优势，以及底盘偏软、满载后备厢和第三排局促等反馈。,问界M7 车质网口碑,车质网,https://www.12365auto.com/review/3363_0_0_1.shtml
UM0122,AITO问界,问界M6,问界M6,22.98-29.98万,纯电动/增程式插混,SUV,中大型,5座,问卷回答,公开网页评论整理,北京,2026-08,35-40岁,制造业管理岗,已婚二孩,已购,流失反馈,2个月以上,家庭共同决策,父母,如果经常高速通勤，我会被问界M6的辅助驾驶吸引，用起来能减少疲劳。和理想L8比较时，我主要看智驾、空间、舒适性和家人认可度，最后还要看价格权益。,公开网页问卷回答风格改写,问界M7口碑中常见华为智驾、鸿蒙座舱、六座空间、增程续航优势，以及底盘偏软、满载后备厢和第三排局促等反馈。,问界M7 车质网口碑,车质网,https://www.12365auto.com/review/3363_0_0_1.shtml
UM0123,AITO问界,问界M6,问界M6,22.98-29.98万,纯电动/增程式插混,SUV,中大型,5座,销售反馈,公开问卷语料模拟,河南,2026-07,30-35岁,私营业主,已婚一孩,意向中,对比评估,1-2个月,本人+配偶,销售顾问,销售讲问界M6时，最好把智驾能力和安全边界同时说清楚，不能只讲厉害。对家庭用户来说，舒适、空间和长期用车稳定性也要一起解释。,公开网页销售反馈风格改写,问界M7口碑中常见华为智驾、鸿蒙座舱、六座空间、增程续航优势，以及底盘偏软、满载后备厢和第三排局促等反馈。,问界M7 车质网口碑,车质网,https://www.12365auto.com/review/3363_0_0_1.shtml
