样本ID,品牌,车系,分析对象名称,车型价格范围,价格段,能源形式,车身形式,级别,座位数,地区,调查时间,年龄段,性别,职业,家庭年收入区间,家庭结构,家庭成员,是否有孩,是否有老人同住/常乘坐,当前用车状态,首购/增购/换购,原有车型/品牌,购车预算,购车阶段,决策周期,主要决策人,决策影响人,购车动因,主要使用场景,信息来源,是否试驾,最关注因素,关注理由,主要顾虑,对比车型,最终倾向,是否成交,流失原因,开放题摘要,沟通触点建议,数据性质,拟定依据,参考来源标题,参考来源URL
S015-02,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,福建省,2026-08-25,41-45岁,男,中基层管理者,50-80万,已婚一孩,3人,是,是,无车,首购,无车,30-40万,已下订,1-2个月,本人+配偶,配偶；子女,品牌升级；商务接待,家庭出行；城市通勤,KOL评测；车主群/社群讨论,否,品牌体面感；静谧性；优惠力度,在意品牌形象和商务/社交场景认可度,配置性价比；后排地台隆起；保养维修费用,宝马X3；奔驰GLC,价格合适会买,待定,,受访者关注品牌体面感，主要用于家庭出行；同时对配置性价比仍有疑问，决策中会对比宝马X3；奔驰GLC。,先围绕家庭出行场景切入，再把品牌体面感转化为可感知体验；对配置性价比需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-03,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,湖北省,2026-07-25,36-40岁,男,公务员/事业单位,80-100万,商务/个人用车,2人,否,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-40万,对比评估,1-2个月,本人+配偶,KOL/博主；销售顾问；朋友/同事,商务接待；空间升级；通勤代步,城市通勤；家庭出行；周末短途,车主群/社群讨论；品牌直营店/4S店,是,品牌认知；优惠力度；安全性；价格权益,在意品牌形象和商务/社交场景认可度；希望同预算下配置和权益更划算,保养维修费用；保养维修成本,宝马X3；奔驰GLC；Model Y,倾向本品,待定,,受访者关注品牌认知，主要用于城市通勤；同时对保养维修费用仍有疑问，决策中会对比宝马X3；奔驰GLC；Model Y。,先围绕城市通勤场景切入，再把品牌认知转化为可感知体验；对保养维修费用需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-04,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,浙江省,2026-08-19,36-40岁,女,私营业主/个体经营者,50-80万,商务/个人用车,5人及以上,否,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-40万,对比评估,1-2个月,企业/业务需求,车主评价；朋友/同事；销售顾问,品牌升级；空间升级；换新能源,家庭出行；城市通勤；周末短途,KOL评测；朋友/同事推荐；车主群/社群讨论,是,驾驶质感；空间舒适；价格权益；售后服务,希望兼顾家人乘坐和周末出行；希望同预算下配置和权益更划算,保养维修成本；保值率；车机智能化不足,宝马X3；奔驰GLC,倾向本品,待定,,受访者关注驾驶质感，主要用于家庭出行；同时对保养维修成本仍有疑问，决策中会对比宝马X3；奔驰GLC。,先围绕家庭出行场景切入，再把驾驶质感转化为可感知体验；对保养维修成本需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-05,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,湖南省,2026-08-15,36-40岁,男,企业高管/企业主,50-80万,已婚一孩,3人,是,否,无车,首购,无车,30-40万,流失/转向竞品,2周-1个月,企业/业务需求,配偶；子女；车主评价,通勤代步；家庭兼商务,周末短途；城市通勤,朋友/同事推荐；品牌直营店/4S店；车主群/社群讨论,否,可靠性；品牌体面感；商务形象；优惠力度,在意品牌形象和商务/社交场景认可度,售后维修成本；竞品是否更强,宝马X3；奔驰GLC,转向竞品,否,家人更认可竞品,受访者关注可靠性，主要用于周末短途；同时对售后维修成本仍有疑问，决策中会对比宝马X3；奔驰GLC。,先围绕周末短途场景切入，再把可靠性转化为可感知体验；对售后维修成本需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-06,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,浙江省,2026-08-17,31-35岁,女,公务员/事业单位,30-50万,已婚无孩,4人,否,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-40万,初步了解,1-2个月,企业/业务需求,KOL/博主；配偶；车主评价,家庭出行升级；品牌升级；通勤代步,周末短途；城市通勤,KOL评测；懂车帝/汽车之家口碑,是,优惠力度；价格权益；售后服务,希望同预算下配置和权益更划算,后排地台隆起；配置性价比,宝马X3；奔驰GLC；Model Y,已下订,是,,受访者关注优惠力度，主要用于周末短途；同时对后排地台隆起仍有疑问，决策中会对比宝马X3；奔驰GLC；Model Y。,先围绕周末短途场景切入，再把优惠力度转化为可感知体验；对后排地台隆起需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-07,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,重庆市,2026-07-27,46岁以上,男,金融/地产从业者,30-50万,已婚二孩及以上,3人,是,是,无车,首购,无车,30-40万,初步了解,2个月以上,本人,配偶；子女,换新能源；商务接待；家庭出行升级,家庭出行；城市通勤,KOL评测；车主群/社群讨论,是,安全性；商务形象；驾驶质感；后排空间,希望在预算内获得更稳定的综合体验,后排地台隆起；价格是否值得；配置性价比,宝马X3；奔驰GLC,转向竞品,否,竞品价格更低,受访者关注安全性，主要用于家庭出行；同时对后排地台隆起仍有疑问，决策中会对比宝马X3；奔驰GLC。,先围绕家庭出行场景切入，再把安全性转化为可感知体验；对后排地台隆起需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-08,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,湖南省,2026-08-07,36-40岁,男,私营业主/个体经营者,30-50万,商务/个人用车,5人及以上,否,否,无车,首购,无车,30-40万,已购/用车复盘,1-2个月,本人,销售顾问；车主评价；KOL/博主,商务接待；品牌升级；通勤代步,家庭出行；城市通勤,车主群/社群讨论；品牌直营店/4S店；KOL评测,是,空间舒适；后排空间；优惠力度；品牌认知,希望兼顾家人乘坐和周末出行；在意品牌形象和商务/社交场景认可度,后排地台隆起；车机智能化不足,宝马X3；奔驰GLC,已购,是,,受访者关注空间舒适，主要用于家庭出行；同时对后排地台隆起仍有疑问，决策中会对比宝马X3；奔驰GLC。,先围绕家庭出行场景切入，再把空间舒适转化为可感知体验；对后排地台隆起需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-09,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,上海市,2026-08-17,36-40岁,男,金融/地产从业者,80-100万,已婚二孩及以上,2人,是,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-40万,已购/用车复盘,1-2个月,本人,配偶；子女；KOL/博主,家庭兼商务；商务接待；空间升级,城市通勤；家庭出行,小红书/抖音内容；KOL评测；朋友/同事推荐,是,安全性；售后服务；保值率；品牌体面感,在意品牌形象和商务/社交场景认可度,保养维修成本；保值率；配置性价比,宝马X3；奔驰GLC；Model Y,转向竞品,否,家人更认可竞品,受访者关注安全性，主要用于城市通勤；同时对保养维修成本仍有疑问，决策中会对比宝马X3；奔驰GLC；Model Y。,先围绕城市通勤场景切入，再把安全性转化为可感知体验；对保养维修成本需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-10,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,安徽省,2026-06-25,46岁以上,不便透露,中基层管理者,50-80万,商务/个人用车,5人及以上,否,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-40万,流失/转向竞品,2个月以上,本人,销售顾问；KOL/博主；朋友/同事,商务接待；家庭兼商务,周末短途；城市通勤；家庭出行,车主群/社群讨论；懂车帝/汽车之家口碑；朋友/同事推荐,是,可靠性；静谧性；商务形象；品牌体面感,在意品牌形象和商务/社交场景认可度,保养维修成本；竞品是否更强,宝马X3；奔驰GLC,继续比较,待定,,受访者关注可靠性，主要用于周末短途；同时对保养维修成本仍有疑问，决策中会对比宝马X3；奔驰GLC。,先围绕周末短途场景切入，再把可靠性转化为可感知体验；对保养维修成本需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-11,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,上海市,2026-07-23,36-40岁,女,私营业主/个体经营者,80-100万,商务/个人用车,2人,否,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-40万,价格谈判,1-2个月,企业/业务需求,销售顾问；车主评价,商务接待；家庭出行升级；空间升级,家庭出行；周末短途；城市通勤,朋友/同事推荐；懂车帝/汽车之家口碑,是,品牌体面感；售后服务；后排空间；安全性,在意品牌形象和商务/社交场景认可度,售后维修成本；竞品是否更强；后排地台隆起,宝马X3；奔驰GLC,倾向本品,待定,,受访者关注品牌体面感，主要用于家庭出行；同时对售后维修成本仍有疑问，决策中会对比宝马X3；奔驰GLC。,先围绕家庭出行场景切入，再把品牌体面感转化为可感知体验；对售后维修成本需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-12,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,浙江省,2026-08-13,31-35岁,男,公务员/事业单位,80-100万,商务/个人用车,2人,否,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-40万,流失/转向竞品,2周-1个月,本人,朋友/同事；销售顾问；KOL/博主,通勤代步；家庭兼商务；家庭出行升级,家庭出行；城市通勤；周末短途,品牌直营店/4S店；KOL评测；懂车帝/汽车之家口碑,是,空间舒适；保值率；售后服务；价格权益,希望兼顾家人乘坐和周末出行；希望同预算下配置和权益更划算,竞品是否更强；后排地台隆起,宝马X3；奔驰GLC；Model Y,倾向本品,待定,,受访者关注空间舒适，主要用于家庭出行；同时对竞品是否更强仍有疑问，决策中会对比宝马X3；奔驰GLC；Model Y。,先围绕家庭出行场景切入，再把空间舒适转化为可感知体验；对竞品是否更强需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-13,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,浙江省,2026-07-25,31-35岁,男,私营业主/个体经营者,30-50万,商务/个人用车,3人,否,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-40万,已下订,1-2个月,本人,KOL/博主；朋友/同事,家庭出行升级；换新能源,周末短途；城市通勤,品牌直营店/4S店；KOL评测；懂车帝/汽车之家口碑,否,售后服务；后排空间；安全性,希望在预算内获得更稳定的综合体验,车机/智能化是否落后；售后维修成本；保养维修成本,宝马X3；奔驰GLC,继续比较,待定,,受访者关注售后服务，主要用于周末短途；同时对车机/智能化是否落后仍有疑问，决策中会对比宝马X3；奔驰GLC。,先围绕周末短途场景切入，再把售后服务转化为可感知体验；对车机/智能化是否落后需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-14,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,浙江省,2026-06-13,36-40岁,男,中基层管理者,30-50万,已婚一孩,2人,是,是,家中已有新能源车,增购,家中已有新能源车,30-40万,已购/用车复盘,1-2个月,本人,父母；车主评价,家庭兼商务；通勤代步；家庭出行升级,家庭出行；周末短途,车主群/社群讨论；懂车帝/汽车之家口碑；朋友/同事推荐,是,空间舒适；优惠力度；后排空间,希望兼顾家人乘坐和周末出行,油耗是否偏高；车机智能化不足,宝马X3；奔驰GLC,价格合适会买,待定,,受访者关注空间舒适，主要用于家庭出行；同时对油耗是否偏高仍有疑问，决策中会对比宝马X3；奔驰GLC。,先围绕家庭出行场景切入，再把空间舒适转化为可感知体验；对油耗是否偏高需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-15,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,四川省,2026-08-26,46岁以上,男,中基层管理者,50-80万,已婚一孩,4人,是,否,家中已有燃油车,增购,家中已有燃油车,30-40万,对比评估,2个月以上,本人+配偶,配偶；子女；KOL/博主,家庭出行升级；家庭兼商务,周末短途；城市通勤,KOL评测；小红书/抖音内容,否,安全性；可靠性；售后服务；价格权益,希望同预算下配置和权益更划算,保养维修成本；保值率；竞品是否更强,宝马X3；奔驰GLC；Model Y,继续比较,待定,,受访者关注安全性，主要用于周末短途；同时对保养维修成本仍有疑问，决策中会对比宝马X3；奔驰GLC；Model Y。,先围绕周末短途场景切入，再把安全性转化为可感知体验；对保养维修成本需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-16,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,湖北省,2026-08-18,41-45岁,男,公务员/事业单位,80-100万,已婚一孩,4人,是,是,15-25万合资/自主车,换购,15-25万合资/自主车,30-40万,流失/转向竞品,2周-1个月,本人,KOL/博主；配偶,换新能源；家庭兼商务,家庭出行；周末短途；城市通勤,懂车帝/汽车之家口碑；朋友/同事推荐,否,可靠性；品牌认知；保值率,在意品牌形象和商务/社交场景认可度,后排地台隆起；保养维修成本,宝马X3；奔驰GLC,已下订,是,,受访者关注可靠性，主要用于家庭出行；同时对后排地台隆起仍有疑问，决策中会对比宝马X3；奔驰GLC。,先围绕家庭出行场景切入，再把可靠性转化为可感知体验；对后排地台隆起需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-17,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,浙江省,2026-07-07,36-40岁,女,企业高管/企业主,50-80万,已婚二孩及以上,4人,是,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-40万,初步了解,1-2个月,企业/业务需求,车主评价；父母；子女,家庭出行升级；通勤代步；品牌升级,周末短途；家庭出行；城市通勤,小红书/抖音内容；朋友/同事推荐,否,商务形象；静谧性；售后服务；可靠性,希望在预算内获得更稳定的综合体验,保养维修费用；后排地台隆起；保养维修成本,宝马X3；奔驰GLC,倾向本品,待定,,受访者关注商务形象，主要用于周末短途；同时对保养维修费用仍有疑问，决策中会对比宝马X3；奔驰GLC。,先围绕周末短途场景切入，再把商务形象转化为可感知体验；对保养维修费用需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-18,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,湖南省,2026-08-19,41-45岁,男,企业高管/企业主,50-80万,已婚一孩,4人,是,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-40万,已试驾,2个月以上,本人+配偶,KOL/博主；父母；子女,家庭出行升级；空间升级,周末短途；家庭出行；城市通勤,品牌直营店/4S店；车主群/社群讨论；朋友/同事推荐,是,价格权益；商务形象；空间舒适；售后服务,希望兼顾家人乘坐和周末出行；希望同预算下配置和权益更划算,价格是否值得；车机智能化不足；售后维修成本,宝马X3；奔驰GLC；Model Y,倾向本品,待定,,受访者关注价格权益，主要用于周末短途；同时对价格是否值得仍有疑问，决策中会对比宝马X3；奔驰GLC；Model Y。,先围绕周末短途场景切入，再把价格权益转化为可感知体验；对价格是否值得需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-19,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,重庆市,2026-07-27,46岁以上,不便透露,中基层管理者,50-80万,已婚二孩及以上,3人,是,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-40万,价格谈判,2个月以上,本人+配偶,配偶；父母；车主评价,换新能源；空间升级,城市通勤；家庭出行,朋友/同事推荐；品牌直营店/4S店；车主群/社群讨论,是,品牌认知；保值率；优惠力度,在意品牌形象和商务/社交场景认可度,售后维修成本；保养维修成本,宝马X3；奔驰GLC,继续比较,待定,,受访者关注品牌认知，主要用于城市通勤；同时对售后维修成本仍有疑问，决策中会对比宝马X3；奔驰GLC。,先围绕城市通勤场景切入，再把品牌认知转化为可感知体验；对售后维修成本需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S015-20,一汽奥迪,奥迪Q5L,奥迪Q5L,30.98-39.98万,30-40万,传统燃料；常规混合动力,SUV,中型,5座,陕西省,2026-08-27,46岁以上,男,公务员/事业单位,80-100万,已婚二孩及以上,5人及以上,是,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-40万,价格谈判,1-2个月,企业/业务需求,子女；配偶,商务接待；空间升级,周末短途；家庭出行；城市通勤,朋友/同事推荐；车主群/社群讨论,是,静谧性；可靠性；驾驶质感,希望在预算内获得更稳定的综合体验,车机智能化不足；价格是否值得；后排地台隆起,宝马X3；奔驰GLC,继续比较,待定,,受访者关注静谧性，主要用于周末短途；同时对车机智能化不足仍有疑问，决策中会对比宝马X3；奔驰GLC。,先围绕周末短途场景切入，再把静谧性转化为可感知体验；对车机智能化不足需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S016-01,东风日产,日产NX8,日产NX8,15.99-20.99万,10-20万,纯电动；增程式插混,SUV,中大型,5座,山东省,2026-07-11,26-30岁,男,互联网/科技从业者,30-50万,恋爱/情侣同住,3人,否,否,家中已有燃油车,增购,家中已有燃油车,10-30万,初步了解,1-2个月,本人+配偶,配偶；朋友/同事；KOL/博主,低成本出行；家庭出行升级,充电便利场景；城市通勤；长途自驾,小红书/抖音内容；KOL评测,是,外观设计；智能座舱；保值率,希望在预算内获得更稳定的综合体验,竞品是否更强；售后网络是否成熟,钛7；华境S,倾向本品,待定,,受访者关注外观设计，主要用于充电便利场景；同时对竞品是否更强仍有疑问，决策中会对比钛7；华境S。,先围绕充电便利场景场景切入，再把外观设计转化为可感知体验；对竞品是否更强需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S016-02,东风日产,日产NX8,日产NX8,15.99-20.99万,10-20万,纯电动；增程式插混,SUV,中大型,5座,福建省,2026-06-21,18-25岁,男,企业职员,30-50万,已婚一孩,2人,是,否,无车,首购,无车,10-30万,已购/用车复盘,2周-1个月,本人+配偶,配偶；父母,家庭出行升级；低成本出行；长途/自驾,长途自驾；周末短途,车主群/社群讨论；懂车帝/汽车之家口碑,否,智能驾驶；低使用成本；价格权益；售后服务,希望降低通勤和长途驾驶压力；希望同预算下配置和权益更划算,价格是否值得；售后网络是否成熟；增程/插混系统可靠性,华境S；RAV4荣放,倾向本品,待定,,受访者关注智能驾驶，主要用于长途自驾；同时对价格是否值得仍有疑问，决策中会对比华境S；RAV4荣放。,先围绕长途自驾场景切入，再把智能驾驶转化为可感知体验；对价格是否值得需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S016-03,东风日产,日产NX8,日产NX8,15.99-20.99万,10-20万,纯电动；增程式插混,SUV,中大型,5座,四川省,2026-08-28,26-30岁,女,中基层管理者,30-50万,已婚一孩,3人,是,否,无车,首购,无车,10-30万,已购/用车复盘,1-2个月,本人+配偶,KOL/博主；父母；配偶,智能化体验；长途/自驾；低成本出行,长途自驾；周末短途；老人小孩乘坐,车主群/社群讨论；朋友/同事推荐,是,售后服务；智能驾驶；补能便利,希望降低通勤和长途驾驶压力,用车能耗/续航；竞品是否更强,RAV4荣放；星越L；坦克300,倾向本品,待定,,受访者关注售后服务，主要用于长途自驾；同时对用车能耗/续航仍有疑问，决策中会对比RAV4荣放；星越L；坦克300。,先围绕长途自驾场景切入，再把售后服务转化为可感知体验；对用车能耗/续航需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S016-04,东风日产,日产NX8,日产NX8,15.99-20.99万,10-20万,纯电动；增程式插混,SUV,中大型,5座,浙江省,2026-08-07,31-35岁,女,企业职员,20-30万,已婚无孩,5人及以上,否,否,无车,首购,无车,10-30万,已购/用车复盘,2周-1个月,本人+配偶,车主评价；朋友/同事；配偶,家庭出行升级；换新能源；减少里程焦虑,周末短途；长途自驾,小红书/抖音内容；品牌直营店/4S店；车主群/社群讨论,是,空间舒适；智能座舱；家庭适配,希望兼顾家人乘坐和周末出行,增程/插混系统可靠性；价格是否值得,星越L；坦克300,继续比较,待定,,受访者关注空间舒适，主要用于周末短途；同时对增程/插混系统可靠性仍有疑问，决策中会对比星越L；坦克300。,先围绕周末短途场景切入，再把空间舒适转化为可感知体验；对增程/插混系统可靠性需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S016-05,东风日产,日产NX8,日产NX8,15.99-20.99万,10-20万,纯电动；增程式插混,SUV,中大型,5座,福建省,2026-07-02,26-30岁,男,企业职员,20-30万,已婚一孩,3人,是,否,家中已有燃油车,增购,家中已有燃油车,10-30万,已试驾,2周-1个月,本人,车主评价；子女；父母,减少里程焦虑；空间升级,充电便利场景；周末短途,朋友/同事推荐；小红书/抖音内容；KOL评测,是,智能座舱；售后服务；保值率,希望在预算内获得更稳定的综合体验,价格权益是否稳定；续航达成率；价格是否值得,坦克300；钛7,价格合适会买,待定,,受访者关注智能座舱，主要用于充电便利场景；同时对价格权益是否稳定仍有疑问，决策中会对比坦克300；钛7。,先围绕充电便利场景场景切入，再把智能座舱转化为可感知体验；对价格权益是否稳定需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
